Designator,Mid X,Mid Y,Rotation,Layer
MSR6,103.082003,-51.397093,180.0,top
MSR60,198.332267,-54.445093,180.0,top
MSR61,184.74521,-51.397093,180.0,top
MSR62,184.74521,-52.921093,180.0,top
MSR63,184.74521,-54.445093,180.0,top
MSR64,184.74521,-55.969093,180.0,top
MSR65,211.915035,-45.301093,180.0,top
MSR66,211.915035,-46.825093,180.0,top
MSR67,211.915035,-49.873093,180.0,top
MSR68,211.915035,-48.349093,180.0,top
MSR69,225.493514,-46.825093,180.0,top
MSR7,103.082003,-52.921093,180.0,top
MSR70,225.493514,-45.301093,180.0,top
MSR71,225.493514,-48.349093,180.0,top
MSR72,225.493514,-49.873093,180.0,top
MSR73,225.493514,-55.969093,180.0,top
MSR74,225.493514,-52.921093,180.0,top
MSR75,225.493514,-51.397093,180.0,top
MSR76,225.493514,-54.445093,180.0,top
MSR77,211.915035,-51.397093,180.0,top
MSR78,211.915035,-52.921093,180.0,top
MSR79,211.915035,-54.445093,180.0,top
MSR8,103.082003,-54.445093,180.0,top
MSR80,211.915035,-55.969093,180.0,top
MSR9,103.082003,-55.969093,180.0,top
Q1,55.7734,-78.2624,270.0,top
Q2,57.8054,-84.3584,270.0,top
R1,63.1394,-92.9944,270.0,top
R2,58.3134,-78.0084,90.0,top
R3,56.2814,-81.8184,90.0,top
R4,54.7574,-81.8184,90.0,top
R5,53.9954,-85.8824,0.0,top
R6,61.1074,-81.8184,270.0,top
R7,61.3614,-84.8664,0.0,top
R8,59.3294,-81.8184,270.0,top
R9,63.1394,-96.0424,90.0,top
RLED1,30.830498,-45.801199,0.0,top
RLED2,30.830498,-43.261199,0.0,top
RP_DIP1,63.241002,-66.363597,0.0,top
RP_DIP2,63.241002,-68.873598,0.0,top
RP_DIP3,63.241001,-71.383598,0.0,top
RP_DIP4,63.241001,-73.893599,0.0,top
RS1,56.8006,-61.1552,0.0,top
RS_UART_RX1,61.9202,-55.1608,180.0,top
